Filtro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suma - Votos obtenidos por la candidatura o el Senador.,Código de la mesa (una letra mayúscula identificando la mesa o una ‘U’ en caso de mesa única).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
colegio,AR                                                ,AV-MEC                                            ,BACTERIA                                          ,BNG                                               ,CDS                                               ,CIU                                               ,CN                                                ,CSD                                               ,EPV                                               ,FE-JONS                                           ,FN                                                ,FPR                                               ,HB                                                ,IDE                                               ,IP                                                ,IU-CA                                             ,LA                                                ,LV                                                ,LVE                                               ,P.CAR.                                            ,P.E.P.                                            ,PA                                                ,PCPE-PCC                                          ,PED                                               ,PH                                                ,PP                                                ,PSOE                                              ,PST-PORE                                          ,PTE-UC                                            ,RUIZ-MATEOS                                       ,UNA                                               ,VERDE                                             ,Total Resultado
C.P. FUENTE NUEVA,1,3,0,0,191,1,1,10,11,2,22,6,6,4,14,270,2,69,22,0,1,173,2,0,4,868,1256,0,54,279,0,16,3288
C.P. TIERNO GALVAN,1,3,0,1,190,1,0,8,14,4,5,1,10,1,20,317,4,82,41,1,4,250,5,1,2,494,1426,1,62,231,2,10,3192
CENTRO CIVICO DE DIA-ZAIDIN,0,1,0,0,146,4,0,7,17,0,6,0,6,2,11,182,1,57,22,2,1,156,8,0,4,437,702,2,27,181,0,9,1991
CENTRO DE DIA PERSONAS,0,0,0,0,24,1,0,0,4,3,12,0,0,0,0,13,0,4,0,0,0,7,1,0,0,353,37,1,2,99,0,1,562
CENTRO TERCERA EDAD-FIGARES,0,0,0,0,32,0,0,0,0,0,0,1,0,0,1,40,1,4,3,0,0,28,1,0,0,70,174,0,2,37,0,1,395
COLEGIO ANDRES SEGOVIA,1,2,0,0,113,3,0,6,7,2,7,1,4,0,6,196,2,31,20,1,0,116,7,2,0,383,1016,1,20,103,0,5,2055
COLEGIO CAJA DE AHORROS,0,0,0,1,85,0,0,2,3,2,5,3,3,1,2,167,2,24,20,0,0,94,7,2,0,179,1101,1,35,57,0,7,1803
COLEGIO DE LA ASUNCION,1,0,0,0,276,1,0,4,24,1,16,1,4,1,24,238,0,85,47,0,0,219,3,1,1,1494,957,1,41,509,0,16,3965
COLEGIO DEL CARMELO,0,0,0,1,35,0,1,0,2,1,2,0,0,0,3,112,0,24,4,0,0,49,3,0,1,109,632,3,9,55,1,2,1049
COLEGIO GALLEGO BURIN,0,0,0,1,44,1,0,0,3,1,7,0,1,1,3,55,1,16,8,0,0,40,5,1,0,159,166,1,8,104,1,4,631
COLEGIO GENIL,2,3,0,0,179,0,1,9,12,4,7,1,8,2,7,231,1,53,27,0,2,196,5,0,1,717,1376,3,60,267,0,17,3191
COLEGIO INMACULADA TRIUNFO,0,0,0,0,21,0,0,0,3,0,0,0,0,2,1,27,0,1,5,0,0,22,1,0,0,48,195,0,9,8,0,0,343
COLEGIO JARDIN DE LA REINA,0,0,0,0,37,1,0,1,3,0,10,0,0,0,3,14,0,17,4,0,0,17,0,0,0,331,80,1,4,96,0,4,623
COLEGIO MAYOR CARDENAL CISNEROS,7,2,0,0,94,0,0,5,1,2,2,0,4,0,2,195,0,19,24,0,1,129,7,2,0,242,1024,3,36,91,2,13,1907
COLEGIO PREESCOLAR GENERALIFE,0,0,0,0,34,0,1,4,1,3,0,1,0,0,3,80,1,9,2,1,0,45,6,0,0,52,519,3,15,29,1,3,813
