Código de Municipio	Nombre de Municipio	Año	Población	Número de mesas	Total censo electoral	Total votantes	Votos válidos	Votos a candidaturas	Votos en blanco	Votos nulos	PP	PSOE	Diferencia
1	Agrón                                                                                               	2009	381	1	303	154	154	154	0	0	57	90	1
2	Alamedilla                                                                                          	2009	757	1	636	366	366	366	0	0	104	258	1
3	Albolote                                                                                            	2009	16879	22	12892	5628	5594	5524	70	34	2307	2470	1
4	Albondón                                                                                            	2009	921	2	786	431	426	422	4	5	217	196	0
5	Albuñán                                                                                             	2009	435	1	378	200	199	199	0	1	48	142	1
6	Albuñol                                                                                             	2009	6459	7	4219	1746	1733	1719	14	13	877	756	0
7	Albuñuelas                                                                                          	2009	1037	2	880	448	446	443	3	2	102	311	1
10	Aldeire                                                                                             	2009	701	1	607	365	365	365	0	0	66	279	1
11	Alfacar                                                                                             	2009	5401	7	4099	1889	1887	1877	10	2	781	924	1
12	Algarinejo                                                                                          	2009	3817	5	2889	1486	1475	1460	15	11	492	904	1
13	Alhama de Granada                                                                                   	2009	6035	6	4386	2161	2139	2118	21	22	807	1152	1
14	Alhendín                                                                                            	2009	6108	9	4629	2096	2084	2064	20	12	857	893	1
15	Alicún de Ortega                                                                                    	2009	539	1	465	279	279	279	0	0	92	148	1
16	Almegíjar                                                                                           	2009	409	1	339	238	238	235	3	0	88	137	1
17	Almuñécar                                                                                           	2009	27544	32	18443	6253	6231	6196	35	22	3086	2560	0
18	Alquife                                                                                             	2009	760	1	681	390	387	379	8	3	104	240	1
20	Arenas del Rey                                                                                      	2009	2111	3	1495	794	788	783	5	6	261	496	1
21	Armilla                                                                                             	2009	20882	23	14958	6119	6085	6006	79	34	2501	2838	1
22	Atarfe                                                                                              	2009	14803	19	11451	4619	4588	4554	34	31	1349	2574	1
23	Baza                                                                                                	2009	23287	28	17199	7000	6967	6901	66	33	2869	3458	1
24	Beas de Granada                                                                                     	2009	1085	2	885	465	462	461	1	3	184	221	1
25	Beas de Guadix                                                                                      	2009	376	1	312	163	162	162	0	1	45	112	1
27	Benalúa                                                                                             	2009	3351	4	2550	1176	1173	1170	3	3	247	716	1
28	Benalúa de las Villas                                                                               	2009	1461	2	1019	652	651	650	1	1	316	320	1
29	Benamaurel                                                                                          	2009	2397	3	1901	802	802	800	2	0	190	538	1
30	Bérchules                                                                                           	2009	836	1	619	287	287	285	2	0	108	162	1
32	Bubión                                                                                              	2009	361	1	285	124	124	123	1	0	71	35	0
33	Busquístar                                                                                          	2009	317	1	278	176	175	174	1	1	77	90	1
34	Cacín                                                                                               	2009	626	2	534	292	289	287	2	3	85	136	1
35	Cádiar                                                                                              	2009	1642	2	1321	740	740	739	1	0	320	378	1
36	Cájar                                                                                               	2009	4437	4	3440	1648	1644	1618	26	4	875	576	0
37	Calicasas                                                                                           	2009	589	1	476	267	264	262	2	3	131	120	0
38	Campotéjar                                                                                          	2009	1418	2	1121	647	641	639	2	6	231	319	1
39	Caniles                                                                                             	2009	4956	8	3841	2062	2053	2035	18	9	642	1279	1
40	Cáñar                                                                                               	2009	422	1	266	110	110	110	0	0	44	53	1
42	Capileira                                                                                           	2009	559	1	446	251	250	248	2	1	103	134	1
43	Carataunas                                                                                          	2009	197	1	146	56	56	56	0	0	33	12	0
44	Cástaras                                                                                            	2009	266	1	232	86	86	86	0	0	34	42	1
45	Castilléjar                                                                                         	2009	1624	3	1293	626	621	618	3	5	211	390	1
46	Castril                                                                                             	2009	2523	5	1988	836	834	828	6	2	316	411	1
