"Tipo de elecci√≥n.","A√±o del proceso electoral.", "Mes del proceso electoral.","C√≥digo de la candidatura.", "Siglas de la candidatura.", "Denominaci√≥n de la candidatura.", "C√≥digo de la candidatura cabecera de acumulaci√≥n a nivel provincial.", "C√≥digo de la candidatura cabecera de acumulaci√≥n a nivel auton√≥mico.", "C√≥digo de la candidatura cabecera de acumulaci√≥n a nivel nacional."
07,2009,06,000001,iF                                                ,INICIATIVA FEMINISTA                                                                                                                                  ,000001,000001,000001
07,2009,06,000002,CEU                                               ,COALICI”N POR EUROPA                                                                                                                                  ,000002,000002,000002
07,2009,06,000003,SAIn                                              ,SOLIDARIDAD Y AUTOGESTI”N INTERNACIONALISTA                                                                                                           ,000003,000003,000003
07,2009,06,000004,PSA                                               ,PARTIDO SOCIALISTA DE ANDALUCÕA                                                                                                                       ,000004,000004,000004
07,2009,06,000005,FE de las JONS                                    ,FALANGE ESPA—OLA DE LAS JONS                                                                                                                          ,000005,000005,000005
07,2009,06,000006,Edp-V                                             ,EUROPA DE LOS PUEBLOS-VERDES                                                                                                                          ,000006,000006,000006
07,2009,06,000007,IZAN-RG                                           ,IZQUIERDA ANTICAPITALISTA-REVOLTA GLOBAL                                                                                                              ,000007,000007,000007
07,2009,06,000008,PP                                                ,PARTIDO POPULAR                                                                                                                                       ,000008,000008,000008
07,2009,06,000009,EXTREMADURA UNIDA                                 ,EXTREMADURA UNIDA                                                                                                                                     ,000009,000009,000009
07,2009,06,000010,CDL                                               ,CENTRO DEMOCR¡TICO LIBERAL                                                                                                                            ,000010,000010,000010
07,2009,06,000011,UV                                                ,UNIO VALENCIANA                                                                                                                                       ,000011,000011,000011
07,2009,06,000012,PFyV                                              ,PARTIDO FAMILIA Y VIDA                                                                                                                                ,000012,000012,000012
07,2009,06,000013,UCL                                               ,UNI”N CENTRISTA LIBERAL                                                                                                                               ,000013,000013,000013
07,2009,06,000014,RC                                                ,PARTIT REPUBLIC¿ CATAL¿                                                                                                                               ,000014,000014,000014
07,2009,06,000015,PCPE                                              ,PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPA—A                                                                                                            ,000015,000015,000015
07,2009,06,000017,UPyD                                              ,UNI”N PROGRESO Y DEMOCRACIA                                                                                                                           ,000017,000017,000017
07,2009,06,000018,AES                                               ,ALTERNATIVA ESPA—OLA                                                                                                                                  ,000018,000018,000018
07,2009,06,000019,FA                                                ,FALANGE AUT…NTICA                                                                                                                                     ,000019,000019,000019
07,2009,06,000020,PUM+J                                             ,POR UN MUNDO M¡S JUSTO                                                                                                                                ,000020,000020,000020
07,2009,06,000021,IU-ICV-EUiA-BA                                    ,IZQUIERDA UNIDA-INICIATIVA PER CATALUNYA VERDS-ESQUERRA UNIDA I ALTERNATIVA-BLOQUE POR ASTURIES: LA IZQUIERDA                                         ,000021,000021,000021
07,2009,06,000022,PREPAL                                            ,SALAMANCA-ZAMORA-LE”N                                                                                                                                 ,000022,000022,000022
07,2009,06,000023,CDS                                               ,CENTRO DEMOCR¡TICO Y SOCIAL                                                                                                                           ,000023,000023,000023
07,2009,06,000024,LIBERTAS                                          ,LIBERTAS-CIUDADANOS DE ESPA—A                                                                                                                         ,000024,000024,000024
07,2009,06,000025,LV-GVE                                            ,LOS VERDES-GRUPO VERDE EUROPEO                                                                                                                        ,000025,000025,000025
07,2009,06,000026,FN                                                ,FRENTE NACIONAL                                                                                                                                       ,000026,000026,000026
07,2009,06,000027,PACMA                                             ,PARTIDO ANTITAURINO CONTRA EL MALTRATO ANIMAL                                                                                                         ,000027,000027,000027
07,2009,06,000028,PSOE                                              ,PARTIDO SOCIALISTA OBRERO ESPA—OL                                                                                                                     ,000028,000028,000028
07,2009,06,000029,MSR                                               ,MOVIMIENTO SOCIAL REPUBLICANO                                                                                                                         ,000029,000029,000029
07,2009,06,000030,UNA                                               ,UNID¡ NACIONALISTA ASTURIANA                                                                                                                          ,000030,000030,000030
07,2009,06,000031,II                                                ,INICIATIVA INTERNACIONALISTA - LA SOLIDARIDAD ENTRE LOS PUEBLOS                                                                                       ,000031,000031,000031
07,2009,06,000032,DN                                                ,DEMOCRACIA NACIONAL                                                                                                                                   ,000032,000032,000032
