"Tipo de elecci贸n.","A帽o del proceso electoral.", "Mes del proceso electoral.","C贸digo de la candidatura.", "Siglas de la candidatura.", "Denominaci贸n de la candidatura.", "C贸digo de la candidatura cabecera de acumulaci贸n a nivel provincial.", "C贸digo de la candidatura cabecera de acumulaci贸n a nivel auton贸mico.", "C贸digo de la candidatura cabecera de acumulaci贸n a nivel nacional."
07,1989,06,000001,IP                                                ,IZQUIERDA DE LOS PUEBLOS                                                                                                                              ,000001,000001,000001
07,1989,06,000002,FPR                                               ,FEDERACION DE PARTIDOS REGIONALES                                                                                                                     ,000002,000002,000002
07,1989,06,000003,PTE-UC                                            ,P. DE LOS TRABAJADORES DE ESPA袮-UNIDAD COMUNISTA                                                                                                     ,000003,000003,000003
07,1989,06,000004,BNG                                               ,BLOQUE NACIONALISTA GALEGO                                                                                                                            ,000004,000004,000004
07,1989,06,000005,CN                                                ,COALICION NACIONALISTA                                                                                                                                ,000005,000005,000005
07,1989,06,000006,PA                                                ,PARTIDO ANDALUCISTA                                                                                                                                   ,000006,000006,000006
07,1989,06,000007,AV-MEC                                            ,ALTERNATIVA VERDA-MOVIMENT ECOLOGISTA DE CATALUNYA                                                                                                    ,000007,000007,000007
07,1989,06,000008,HB                                                ,HERRI BATASUNA                                                                                                                                        ,000008,000008,000008
07,1989,06,000009,BACTERIA                                          ,AGRUPACION DE ELECTORES B.A.C.T.E.R.I.A.                                                                                                              ,000009,000009,000009
07,1989,06,000010,PP                                                ,PARTIDO POPULAR                                                                                                                                       ,000010,000010,000010
07,1989,06,000011,PSOE                                              ,PARTIDO SOCIALISTA OBRERO ESPA袿L                                                                                                                     ,000011,000011,000011
07,1989,06,000012,PED                                               ,UNIDAD CENTRISTA-P.E.D.                                                                                                                               ,000012,000012,000012
07,1989,06,000013,PCPE-PCC                                          ,PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPA袮-P.C.C.                                                                                                     ,000013,000013,000013
07,1989,06,000014,P.E.P.                                            ,POR LA EUROPA DE LOS PUEBLOS                                                                                                                          ,000014,000014,000014
07,1989,06,000015,RUIZ-MATEOS                                       ,AGRUPACION DE ELECTORES JOSE MARIA RUIZ MATEOS                                                                                                        ,000015,000015,000015
07,1989,06,000016,FN                                                ,FRENTE NACIONAL                                                                                                                                       ,000016,000016,000016
07,1989,06,000017,IU                                                ,IZQUIERDA UNIDA                                                                                                                                       ,000017,000017,000017
07,1989,06,000018,EPV                                               ,AGRUPACION DE ELECTORES "EUROPA POR LA VIDA"                                                                                                          ,000018,000018,000018
07,1989,06,000019,LVE                                               ,LOS VERDES ECOLOGISTAS                                                                                                                                ,000019,000019,000019
07,1989,06,000020,FE-JONS                                           ,FALANGE ESPA袿LA DE LAS J.O.N.S.                                                                                                                      ,000020,000020,000020
07,1989,06,000021,CSD                                               ,COALICION SOCIALDEMOCRATA                                                                                                                             ,000021,000021,000021
