"Tipo de elección.","Año del proceso electoral.","Mes del proceso electoral.","Número de vuelta (en procesos a una sola vuelta = 1) o Número de pregunta en Referéndum.","Código de la Comunidad Autónoma o 99 si se trata del Total Nacional del C.E.R.A.","Código I.N.E. de la provincia o 99 si se trata del Total Nacional o Autonómico del C.E.R.A.","Municipio","Código de la sección (tres dígitos seguidos de un espacio, letra mayúscula u otro dígito).","Código de la mesa (una letra mayúscula identificando la mesa o una ‘U’ en caso de mesa única).","Censo del I.N.E.","Censo de escrutinio o censo C.E.R.A.","Censo C.E.R.E. en escrutinio (Residentes Extranjeros).","Total votantes C.E.R.E. (Residentes Extranjeros).","Votantes del primer avance de participación.","Votantes del segundo avance de participación.","Votos en blanco.","Votos nulos.","Votos a candidaturas.","Votos afirmativos en Referéndum o ceros en otros procesos electorales.","Votos negativos en Referéndum o ceros en otros procesos electorales.","Datos oficiales (Si/No)."
07,1994,06,1,01,18,ALMUÑÉCAR,01,005 ,A,0000556,0000556,0000000,0000000,0000190,0000290,0000002,0000000,0000378,0000000,0000000,N
07,1994,06,1,01,18,ARMILLA,01,003 ,U,0000987,0000987,0000000,0000000,0000367,0000481,0000004,0000002,0000629,0000000,0000000,N
07,1994,06,1,01,18,ATARFE,01,002 ,A,0000765,0000765,0000000,0000000,0000304,0000396,0000009,0000002,0000488,0000000,0000000,N
07,1994,06,1,01,18,ATARFE,01,002 ,B,0000695,0000695,0000000,0000000,0000343,0000431,0000003,0000005,0000507,0000000,0000000,N
07,1994,06,1,01,18,BAZA,01,003 ,B,0000818,0000818,0000000,0000000,0000317,0000450,0000003,0000000,0000579,0000000,0000000,N
07,1994,06,1,01,18,BUSQUÍSTAR,01,001 ,U,0000313,0000313,0000000,0000000,0000081,0000156,0000000,0000002,0000186,0000000,0000000,N
07,1994,06,1,01,18,CÁJAR,01,001 ,U,0000897,0000897,0000000,0000000,0000407,0000538,0000011,0000005,0000669,0000000,0000000,N
07,1994,06,1,01,18,CÁJAR,01,002 ,U,0000872,0000872,0000000,0000000,0000392,0000489,0000005,0000000,0000632,0000000,0000000,N
07,1994,06,1,01,18,CASTILLÉJAR,01,001 ,C,0000499,0000499,0000000,0000000,0000139,0000213,0000000,0000007,0000318,0000000,0000000,N
07,1994,06,1,01,18,DÍLAR,01,001 ,A,0000692,0000692,0000000,0000000,0000296,0000398,0000004,0000004,0000498,0000000,0000000,N
07,1994,06,1,01,18,GRANADA,01,004 ,U,0001286,0001286,0000000,0000000,0000595,0000838,0000005,0000001,0000973,0000000,0000000,N
07,1994,06,1,01,18,GRANADA,01,006 ,A,0000603,0000603,0000000,0000000,0000276,0000391,0000003,0000000,0000479,0000000,0000000,N
07,1994,06,1,01,18,GRANADA,02,013 ,A,0000603,0000603,0000000,0000000,0000250,0000343,0000000,0000004,0000433,0000000,0000000,N
07,1994,06,1,01,18,GRANADA,03,004 ,A,0000660,0000660,0000000,0000000,0000279,0000397,0000004,0000000,0000501,0000000,0000000,N
07,1994,06,1,01,18,GRANADA,03,008 ,A,0000703,0000703,0000000,0000000,0000309,0000430,0000005,0000000,0000520,0000000,0000000,N
07,1994,06,1,01,18,GRANADA,03,029 ,A,0000675,0000675,0000000,0000000,0000297,0000402,0000006,0000002,0000501,0000000,0000000,N
07,1994,06,1,01,18,GRANADA,03,029 ,B,0000843,0000843,0000000,0000000,0000364,0000505,0000009,0000002,0000626,0000000,0000000,N
07,1994,06,1,01,18,GRANADA,06,017 ,U,0000964,0000964,0000000,0000000,0000461,0000591,0000007,0000000,0000725,0000000,0000000,N
07,1994,06,1,01,18,GRANADA,07,011 ,A,0000755,0000755,0000000,0000000,0000394,0000508,0000003,0000004,0000603,0000000,0000000,N
07,1994,06,1,01,18,ALBOLOTE,01,006 ,U,0000711,0000711,0000000,0000000,0000316,0000377,0000003,0000003,0000489,0000000,0000000,N
07,1994,06,1,01,18,ALBUÑOL,01,002 ,U,0000570,0000570,0000000,0000000,0000189,0000287,0000001,0000004,0000405,0000000,0000000,N
07,1994,06,1,01,18,ALGARINEJO,01,003 ,U,0000545,0000545,0000000,0000000,0000119,0000204,0000002,0000004,0000302,0000000,0000000,N
07,1994,06,1,01,18,ALHAMA DE GRANADA,01,004 ,U,0001133,0001133,0000000,0000000,0000541,0000685,0000010,0000004,0000874,0000000,0000000,N
07,1994,06,1,01,18,ALMUÑÉCAR,01,001 ,B,0001090,0001090,0000000,0000000,0000492,0000669,0000002,0000002,0000814,0000000,0000000,N
07,1994,06,1,01,18,ALMUÑÉCAR,01,004 ,U,0001292,0001292,0000000,0000000,0000431,0000721,0000008,0000008,0000907,0000000,0000000,N
07,1994,06,1,01,18,ARMILLA,01,005 ,A,0000619,0000619,0000000,0000000,0000250,0000321,0000002,0000001,0000402,0000000,0000000,N
07,1994,06,1,01,18,ATARFE,01,001 ,B,0001070,0001070,0000000,0000000,0000466,0000607,0000004,0000007,0000741,0000000,0000000,N
07,1994,06,1,01,18,BAZA,01,005 ,U,0000921,0000921,0000000,0000000,0000318,0000451,0000003,0000010,0000599,0000000,0000000,N
07,1994,06,1,01,18,BENALÚA,01,002 ,A,0000624,0000624,0000000,0000000,0000225,0000314,0000002,0000003,0000412,0000000,0000000,N
07,1994,06,1,01,18,ALBOLOTE,01,001 ,A,0000598,0000598,0000000,0000000,0000212,0000297,0000000,0000002,0000423,0000000,0000000,N
07,1994,06,1,01,18,ALBOLOTE,01,002 ,B,0000528,0000528,0000000,0000000,0000211,0000275,0000003,0000003,0000370,0000000,0000000,N
07,1994,06,1,01,18,ALBOLOTE,01,004 ,A,0000698,0000698,0000000,0000000,0000277,0000381,0000002,0000003,0000509,0000000,0000000,N
07,1994,06,1,01,18,ALBUÑOL,03,001 ,U,0000760,0000760,0000000,0000000,0000207,0000375,0000000,0000003,0000489,0000000,0000000,N
07,1994,06,1,01,18,ALHENDÍN,01,001 ,B,0000788,0000788,0000000,0000000,0000299,0000449,0000004,0000008,0000591,0000000,0000000,N
07,1994,06,1,01,18,ARENAS DEL REY,01,001 ,A,0000667,0000667,0000000,0000000,0000195,0000307,0000004,0000003,0000423,0000000,0000000,N
07,1994,06,1,01,18,ARMILLA,01,004 ,A,0000556,0000556,0000000,0000000,0000229,0000300,0000006,0000001,0000382,0000000,0000000,N
07,1994,06,1,01,18,BENALÚA,01,002 ,B,0000816,0000816,0000000,0000000,0000279,0000433,0000003,0000006,0000590,0000000,0000000,N
07,1994,06,1,01,18,ALBOLOTE,01,002 ,A,0000656,0000656,0000000,0000000,0000245,0000321,0000002,0000001,0000460,0000000,0000000,N
07,1994,06,1,01,18,ALBOLOTE,01,005 ,B,0000828,0000828,0000000,0000000,0000342,0000435,0000002,0000002,0000573,0000000,0000000,N
07,1994,06,1,01,18,ALBUÑUELAS,01,001 ,B,0000534,0000534,0000000,0000000,0000208,0000288,0000003,0000002,0000381,0000000,0000000,N
07,1994,06,1,01,18,ALDEIRE,01,001 ,U,0000662,0000662,0000000,0000000,0000224,0000325,0000001,0000003,0000491,0000000,0000000,N
07,1994,06,1,01,18,ALMUÑÉCAR,01,002 ,B,0000803,0000803,0000000,0000000,0000336,0000469,0000003,0000001,0000571,0000000,0000000,N
07,1994,06,1,01,18,ARMILLA,01,002 ,U,0001028,0001028,0000000,0000000,0000417,0000544,0000004,0000003,0000675,0000000,0000000,N
07,1994,06,1,01,18,BAZA,01,002 ,A,0000676,0000676,0000000,0000000,0000209,0000276,0000002,0000005,0000365,0000000,0000000,N
07,1994,06,1,01,18,CASTILLÉJAR,01,001 ,A,0000595,0000595,0000000,0000000,0000197,0000265,0000001,0000001,0000349,0000000,0000000,N
07,1994,06,1,01,18,COLOMERA,01,001 ,U,0000622,0000622,0000000,0000000,0000234,0000340,0000003,0000004,0000460,0000000,0000000,N
07,1994,06,1,01,18,CORTES DE BAZA,01,001 ,U,0001018,0001018,0000000,0000000,0000333,0000444,0000003,0000001,0000577,0000000,0000000,N
07,1994,06,1,01,18,GRANADA,07,023 ,U,0001242,0001242,0000000,0000000,0000527,0000737,0000027,0000003,0000869,0000000,0000000,N
