"Tipo de elección.","Año del proceso electoral.","Mes del proceso electoral.","Número de vuelta (en procesos a una sola vuelta = 1)","Código de la Comunidad Autónoma o 99 si se trata del Total Nacional del C.E.R.A.","Código I.N.E. de la provincia o 99 si se trata del Total Nacional o Autonómico del C.E.R.A.","Código I.N.E. del municipio (999 = C.E.R.A.).","Número de distrito municipal en su caso o 01 si el municipio no tiene distritos (distrito único). En el caso de datos procedentes del C.E.R.A., llevará el número del ‘Distrito Electoral’ a que correspondan o 09 si el ámbito de dicho distrito coincide con el de la provincia.","Código de la sección (tres dígitos seguidos de un espacio, letra mayúscula u otro dígito).","Código de la mesa (una letra mayúscula identificando la mesa o una ‘U’ en caso de mesa única).","Código de la candidatura o del Senador en elecciones al Senado.","Votos obtenidos por la candidatura o el Senador."
07,1987,06,1,01,18,002,01,0001,A,000013,0000000
07,1987,06,1,01,18,002,01,0001,A,000022,0000000
07,1987,06,1,01,18,003,01,0001,A,000023,0000000
07,1987,06,1,01,18,003,01,0001,A,000032,0000000
07,1987,06,1,01,18,003,01,0001,A,000115,0000011
07,1987,06,1,01,18,003,01,0002,A,000021,0000000
07,1987,06,1,01,18,003,01,0003,A,000114,0000000
07,1987,06,1,01,18,003,01,0004,A,000002,0000126
07,1987,06,1,01,18,003,01,0004,A,000116,0000000
07,1987,06,1,01,18,003,01,0005,A,000002,0000085
07,1987,06,1,01,18,003,01,0005,A,000105,0000000
07,1987,06,1,01,18,004,01,0001,A,000009,0000000
07,1987,06,1,01,18,004,01,0001,A,000020,0000000
07,1987,06,1,01,18,004,01,0001,A,000023,0000000
07,1987,06,1,01,18,004,01,0001,A,000037,0000003
07,1987,06,1,01,18,004,01,0001,A,000111,0000000
07,1987,06,1,01,18,004,01,0001,B,000019,0000001
07,1987,06,1,01,18,004,01,0001,B,000037,0000000
07,1987,06,1,01,18,005,01,0001,A,000002,0000188
07,1987,06,1,01,18,005,01,0001,A,000038,0000000
07,1987,06,1,01,18,006,01,0001,A,000002,0000115
07,1987,06,1,01,18,006,01,0001,B,000032,0000000
07,1987,06,1,01,18,006,01,0001,B,000109,0000000
07,1987,06,1,01,18,006,01,0002,A,000005,0000000
07,1987,06,1,01,18,006,01,0002,A,000067,0000000
07,1987,06,1,01,18,006,01,0002,A,000106,0000000
07,1987,06,1,01,18,006,01,0002,A,000116,0000000
07,1987,06,1,01,18,006,02,0001,B,000020,0000000
07,1987,06,1,01,18,006,02,0001,B,000037,0000000
07,1987,06,1,01,18,006,02,0001,B,000109,0000000
07,1987,06,1,01,18,001,01,0001,A,000031,0000000
07,1987,06,1,01,18,001,01,0001,A,000032,0000000
07,1987,06,1,01,18,001,01,0001,A,000034,0000000
07,1987,06,1,01,18,001,01,0001,A,000038,0000000
07,1987,06,1,01,18,001,01,0001,A,000069,0000000
07,1987,06,1,01,18,002,01,0001,A,000003,0000111
07,1987,06,1,01,18,002,01,0001,A,000004,0000007
07,1987,06,1,01,18,002,01,0001,A,000098,0000000
07,1987,06,1,01,18,003,01,0001,A,000002,0000118
07,1987,06,1,01,18,003,01,0001,A,000109,0000000
07,1987,06,1,01,18,003,01,0002,A,000004,0000173
07,1987,06,1,01,18,003,01,0002,A,000022,0000000
07,1987,06,1,01,18,003,01,0002,A,000113,0000000
07,1987,06,1,01,18,003,01,0003,A,000111,0000000
07,1987,06,1,01,18,003,01,0004,A,000019,0000000
07,1987,06,1,01,18,003,01,0004,A,000037,0000054
07,1987,06,1,01,18,003,01,0004,A,000105,0000005
07,1987,06,1,01,18,003,01,0005,A,000067,0000000
07,1987,06,1,01,18,004,01,0001,A,000010,0000000
07,1987,06,1,01,18,004,01,0001,A,000019,0000002
07,1987,06,1,01,18,004,01,0001,A,000034,0000000
07,1987,06,1,01,18,004,01,0001,A,000082,0000002
07,1987,06,1,01,18,004,01,0001,A,000109,0000000
07,1987,06,1,01,18,004,01,0001,B,000010,0000000
07,1987,06,1,01,18,004,01,0001,B,000108,0000000
07,1987,06,1,01,18,004,01,0001,B,000114,0000000
07,1987,06,1,01,18,005,01,0001,A,000067,0000000
07,1987,06,1,01,18,005,01,0001,A,000111,0000000
07,1987,06,1,01,18,006,01,0001,A,000032,0000002
07,1987,06,1,01,18,006,01,0002,A,000082,0000006
07,1987,06,1,01,18,006,01,0002,A,000105,0000000
07,1987,06,1,01,18,006,02,0001,A,000105,0000000
07,1987,06,1,01,18,006,02,0001,A,000115,0000008
07,1987,06,1,01,18,006,02,0001,B,000019,0000000
07,1987,06,1,01,18,006,02,0001,B,000069,0000000
07,1987,06,1,01,18,006,02,0001,B,000113,0000000
07,1987,06,1,01,18,007,01,0001,A,000020,0000000
07,1987,06,1,01,18,007,01,0001,B,000002,0000024
07,1987,06,1,01,18,006,02,0001,B,000111,0000000
07,1987,06,1,01,18,006,03,0001,A,000105,0000000
07,1987,06,1,01,18,006,03,0001,A,000111,0000000
07,1987,06,1,01,18,007,01,0001,A,000002,0000121
07,1987,06,1,01,18,007,01,0001,A,000004,0000011
07,1987,06,1,01,18,007,01,0001,A,000009,0000000
07,1987,06,1,01,18,007,01,0001,A,000114,0000000
