"Tipo de elección.","Año del proceso electoral.","Mes del proceso electoral.","Número de vuelta (en procesos a una sola vuelta = 1)","Código de la Comunidad Autónoma o 99 si se trata del Total Nacional del C.E.R.A.","Código I.N.E. de la provincia o 99 si se trata del Total Nacional o Autonómico del C.E.R.A.","Municipio","Número de distrito municipal en su caso o 01 si el municipio no tiene distritos (distrito único). En el caso de datos procedentes del C.E.R.A., llevará el número del ‘Distrito Electoral’ a que correspondan o 09 si el ámbito de dicho distrito coincide con el de la provincia.","Colegio","Código de la mesa (una letra mayúscula identificando la mesa o una ‘U’ en caso de mesa única).","Siglas.","Votos obtenidos por la candidatura o el Senador."
07,2004,06,1,01,18,GRANADA,01,,A,GALEUSCA                                          ,0000000
07,2004,06,1,01,18,GRANADA,01,,A,PREPAL                                            ,0000000
07,2004,06,1,01,18,GRANADA,01,,B,EC                                                ,0000000
07,2004,06,1,01,18,GRANADA,01,,U,N.I.V.                                            ,0000000
07,2004,06,1,01,18,GRANADA,01,,A,UCL                                               ,0000000
07,2004,06,1,01,18,GRANADA,01,,B,EC                                                ,0000000
07,2004,06,1,01,18,GRANADA,01,,B,PC                                                ,0000000
07,2004,06,1,01,18,GRANADA,01,,B,N.I.V.                                            ,0000000
07,2004,06,1,01,18,GRANADA,01,,B,LV-GV                                             ,0000001
07,2004,06,1,01,18,GRANADA,01,,B,EC                                                ,0000000
07,2004,06,1,01,18,GRANADA,01,,B,LOS PARADOS                                       ,0000000
07,2004,06,1,01,18,GRANADA,01,,B,P.CANNABIS                                        ,0000000
07,2004,06,1,01,18,GRANADA,01,,A,GALEUSCA                                          ,0000000
07,2004,06,1,01,18,GRANADA,01,,A,TC-PNC                                            ,0000000
07,2004,06,1,01,18,GRANADA,01,,A,PREPAL                                            ,0000000
07,2004,06,1,01,18,GRANADA,01,,B,N.I.V.                                            ,0000000
07,2004,06,1,01,18,GRANADA,01,,B,GALEUSCA                                          ,0000000
07,2004,06,1,01,18,GRANADA,01,,B,PCPE-LI (LI                                       ,0000000
07,2004,06,1,01,18,GRANADA,01,,B,PP                                                ,0000356
07,2004,06,1,01,18,GRANADA,01,,B,FE                                                ,0000000
07,2004,06,1,01,18,GRANADA,01,,B,FE DE LAS J                                       ,0000000
07,2004,06,1,01,18,GRANADA,01,,U,P.CANNABIS                                        ,0000001
07,2004,06,1,01,18,GRANADA,01,,A,FE                                                ,0000000
07,2004,06,1,01,18,GRANADA,01,,B,FA                                                ,0000000
07,2004,06,1,01,18,GRANADA,01,,U,GALEUSCA                                          ,0000000
07,2004,06,1,01,18,GRANADA,01,,U,UCL                                               ,0000000
07,2004,06,1,01,18,GRANADA,01,,A,C.D.S.                                            ,0000000
07,2004,06,1,01,18,GRANADA,01,,A,TC-PNC                                            ,0000000
07,2004,06,1,01,18,GRANADA,01,,B,PADE                                              ,0000000
07,2004,06,1,01,18,GRANADA,01,,C,C.D.S.                                            ,0000000
07,2004,06,1,01,18,GRANADA,01,,C,PA                                                ,0000002
07,2004,06,1,01,18,GRANADA,01,,C,PC                                                ,0000000
07,2004,06,1,01,18,GRANADA,01,,A,IULV-CA                                           ,0000005
07,2004,06,1,01,18,GRANADA,01,,A,UCL                                               ,0000000
07,2004,06,1,01,18,GRANADA,01,,A,PFYV                                              ,0000000
07,2004,06,1,01,18,GRANADA,01,,B,PCPE-LI (LI                                       ,0000000
07,2004,06,1,01,18,GRANADA,01,,B,C.D.S.                                            ,0000000
07,2004,06,1,01,18,GRANADA,01,,B,PP                                                ,0000139
07,2004,06,1,01,18,GRANADA,01,,B,FA                                                ,0000000
07,2004,06,1,01,18,GRANADA,01,,B,FE DE LAS J                                       ,0000000
07,2004,06,1,01,18,GRANADA,01,,A,LOS PARADOS                                       ,0000000
07,2004,06,1,01,18,GRANADA,01,,B,N.I.V.                                            ,0000000
07,2004,06,1,01,18,GRANADA,01,,B,C.D.S.                                            ,0000000
07,2004,06,1,01,18,GRANADA,01,,B,PASOC                                             ,0000000
07,2004,06,1,01,18,GRANADA,01,,U,A-IZ-PSA-ED                                       ,0000000
07,2004,06,1,01,18,GRANADA,01,,U,NOS-UP                                            ,0000000
07,2004,06,1,01,18,GRANADA,01,,U,EC                                                ,0000000
07,2004,06,1,01,18,GRANADA,01,,U,PH                                                ,0000000
07,2004,06,1,01,18,GRANADA,01,,U,PCPE-LI (LI                                       ,0000000
07,2004,06,1,01,18,GRANADA,01,,U,CUP                                               ,0000000
07,2004,06,1,01,18,GRANADA,01,,U,EC                                                ,0000000
07,2004,06,1,01,18,GRANADA,01,,U,PC                                                ,0000000
07,2004,06,1,01,18,GRANADA,01,,U,GALEUSCA                                          ,0000000
07,2004,06,1,01,18,GRANADA,01,,U,NOS-UP                                            ,0000000
07,2004,06,1,01,18,GRANADA,01,,U,PFYV                                              ,0000000
07,2004,06,1,01,18,GRANADA,01,,A,N.I.V.                                            ,0000000
07,2004,06,1,01,18,GRANADA,01,,A,IULV-CA                                           ,0000004
07,2004,06,1,01,18,GRANADA,01,,A,PA                                                ,0000002
07,2004,06,1,01,18,GRANADA,01,,B,PUM+J                                             ,0000000
