"Tipo de elección.","Año del proceso electoral.","Mes del proceso electoral.","Número de vuelta (en procesos a una sola vuelta = 1)","Código de la Comunidad Autónoma o 99 si se trata del Total Nacional del C.E.R.A.","Código I.N.E. de la provincia o 99 si se trata del Total Nacional o Autonómico del C.E.R.A.","Municipio","Número de distrito municipal en su caso o 01 si el municipio no tiene distritos (distrito único). En el caso de datos procedentes del C.E.R.A., llevará el número del ‘Distrito Electoral’ a que correspondan o 09 si el ámbito de dicho distrito coincide con el de la provincia.","Código de la sección (tres dígitos seguidos de un espacio, letra mayúscula u otro dígito).","Código de la mesa (una letra mayúscula identificando la mesa o una ‘U’ en caso de mesa única).","Siglas.","Votos obtenidos por la candidatura o el Senador."
07,1999,06,1,01,18,AGRÓN,01,001 ,U,TC-PNC                                            ,0000000
07,1999,06,1,01,18,AGRÓN,01,001 ,U,FEI                                               ,0000000
07,1999,06,1,01,18,AGRÓN,01,001 ,U,UPL                                               ,0000000
07,1999,06,1,01,18,ALAMEDILLA,01,001 ,U,PAE-I                                             ,0000000
07,1999,06,1,01,18,ALAMEDILLA,01,001 ,U,AA                                                ,0000000
07,1999,06,1,01,18,ALAMEDILLA,01,001 ,U,ACV                                               ,0000000
07,1999,06,1,01,18,ALAMEDILLA,01,001 ,U,DN                                                ,0000000
07,1999,06,1,01,18,ALAMEDILLA,01,001 ,U,UDR                                               ,0000000
07,1999,06,1,01,18,ALBOLOTE,01,001 ,A,PA (CE)                                           ,0000006
07,1999,06,1,01,18,ALBOLOTE,01,001 ,B,TC-PNC                                            ,0000000
07,1999,06,1,01,18,ALBOLOTE,01,002 ,A,PREX-CREX                                         ,0000000
07,1999,06,1,01,18,ALBOLOTE,01,002 ,B,EU                                                ,0000000
07,1999,06,1,01,18,ALBOLOTE,01,002 ,B,URCL                                              ,0000000
07,1999,06,1,01,18,ALBOLOTE,01,002 ,C,SIEX                                              ,0000000
07,1999,06,1,01,18,ALBOLOTE,01,002 ,C,ACV                                               ,0000000
07,1999,06,1,01,18,ALBOLOTE,01,003 ,A,TC-PNC                                            ,0000000
07,1999,06,1,01,18,ALBOLOTE,01,003 ,A,COFEM-FEMEK                                       ,0000000
07,1999,06,1,01,18,ALBOLOTE,01,003 ,C,CIU                                               ,0000000
07,1999,06,1,01,18,ALBOLOTE,01,003 ,C,UC-CDS                                            ,0000001
07,1999,06,1,01,18,ALBOLOTE,01,003 ,C,PCPE                                              ,0000000
07,1999,06,1,01,18,ALBOLOTE,01,004 ,A,PAE-I                                             ,0000001
07,1999,06,1,01,18,ALBOLOTE,01,004 ,A,LV-GV                                             ,0000007
07,1999,06,1,01,18,ALBOLOTE,01,004 ,B,PSOE-PROG.                                        ,0000141
07,1999,06,1,01,18,ALBOLOTE,01,004 ,B,PA (CE)                                           ,0000005
07,1999,06,1,01,18,ALBOLOTE,01,004 ,B,PREX-CREX                                         ,0000000
07,1999,06,1,01,18,ALBOLOTE,01,004 ,C,PAS                                               ,0000000
07,1999,06,1,01,18,ALBOLOTE,01,004 ,C,AUN                                               ,0000000
07,1999,06,1,01,18,ALBOLOTE,01,005 ,B,BNG                                               ,0000000
07,1999,06,1,01,18,ALBOLOTE,01,005 ,B,PAS                                               ,0000000
07,1999,06,1,01,18,ALBOLOTE,01,006 ,A,A                                                 ,0000001
07,1999,06,1,01,18,ALBOLOTE,01,006 ,A,FE                                                ,0000000
07,1999,06,1,01,18,ALBOLOTE,01,006 ,A,PREPAL                                            ,0000000
07,1999,06,1,01,18,ALBONDÓN,01,001 ,A,FE                                                ,0000000
07,1999,06,1,01,18,ALBONDÓN,01,001 ,A,ACV                                               ,0000001
07,1999,06,1,01,18,ALBONDÓN,01,001 ,B,PAE-I                                             ,0000001
07,1999,06,1,01,18,ALBONDÓN,01,001 ,B,INDEP                                             ,0000000
07,1999,06,1,01,18,ALBONDÓN,01,001 ,B,PLN                                               ,0000000
07,1999,06,1,01,18,ALBONDÓN,01,001 ,B,DN                                                ,0000000
07,1999,06,1,01,18,ALBUÑÁN,01,001 ,U,EH                                                ,0000000
07,1999,06,1,01,18,ALBUÑÁN,01,001 ,U,EU                                                ,0000000
07,1999,06,1,01,18,ALBUÑÁN,01,001 ,U,PAE-I                                             ,0000000
07,1999,06,1,01,18,ALBUÑÁN,01,001 ,U,CN+EP                                             ,0000000
07,1999,06,1,01,18,ALBUÑÁN,01,001 ,U,SIEX                                              ,0000000
07,1999,06,1,01,18,ALBUÑÁN,01,001 ,U,DM                                                ,0000000
07,1999,06,1,01,18,ALBUÑOL,01,001 ,A,PAE-I                                             ,0000000
07,1999,06,1,01,18,ALBUÑOL,01,001 ,B,PSOE-PROG.                                        ,0000331
07,1999,06,1,01,18,ALBUÑOL,01,001 ,B,VERDES-IA                                         ,0000000
07,1999,06,1,01,18,ALBUÑOL,01,001 ,B,SIEX                                              ,0000000
07,1999,06,1,01,18,ALBUÑOL,01,001 ,B,AUN                                               ,0000000
07,1999,06,1,01,18,ALBUÑOL,01,001 ,B,PREX-CREX                                         ,0000000
07,1999,06,1,01,18,ALBUÑOL,01,001 ,B,DN                                                ,0000000
07,1999,06,1,01,18,ALBUÑOL,01,002 ,U,PREPAL                                            ,0000000
07,1999,06,1,01,18,ALBUÑOL,02,001 ,A,UC-CDS                                            ,0000000
07,1999,06,1,01,18,ALBUÑOL,02,001 ,A,PADE                                              ,0000000
07,1999,06,1,01,18,ALBUÑOL,02,001 ,A,FE                                                ,0000000
07,1999,06,1,01,18,ALBUÑOL,02,001 ,C,UC-CDS                                            ,0000000
07,1999,06,1,01,18,ALBUÑOL,02,001 ,C,COFEM-FEMEK                                       ,0000000
07,1999,06,1,01,18,ALBUÑOL,03,001 ,U,DM                                                ,0000000
